,Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00000000000001100,3885
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10000000000001100,2893
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,00000000000000100,2607
3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,10000000100001011,2369
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10000000000001000,2282
5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,00000000100001011,2196
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00000000000001000,2184
7,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,10000000110001011,2071
8,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,10000000110101011,1888
9,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,10000000100101011,1886
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,00000000000010100,1844
11,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,00000000100101011,1748
12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10000000000001011,1716
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,00000000000001011,1682
14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01000000000001100,1664
15,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,00000000110001011,1659
16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,00001000000001100,1505
17,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,00000000110101011,1498
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000000000100,1391
19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,00000000000101011,1294
20,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,10000100110101011,1256
21,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,10000000000101011,1185
22,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,10000000010001011,1179
23,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,00000100100101011,1177
24,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,10000100100101011,1142
25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,00000000010001011,1138
26,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,00000000010101011,1128
27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11000000000001100,1081
28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10000000000010100,1080
29,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,00000100110101011,1054
30,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,10000000010101011,1018
31,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11000000000001011,931
32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,00000000100001100,912
33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,00000000000011100,876
34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,01000000000001011,846
35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10000001001010100,835
36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00100000000001100,819
37,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,10001000000001100,805
38,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10000000000011100,763
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,01000000000000100,735
40,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01100000000001100,731
41,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,10010000000001011,726
42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,00000000010001100,722
43,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,11000000010001011,693
44,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,01001000000001100,680
45,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,00000001001010100,679
46,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,10000100000011100,672
47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,01000000000001000,671
48,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,00000000100001000,670
49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,00000000000001001,669
50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,00010000000001011,660
51,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,00000000100001001,653
52,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,00010000100001011,630
53,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,00101000000001100,622
54,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,11000000000101011,614
55,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,10010000100001011,603
56,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11000000000001000,600
57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11000000000000100,589
58,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,00000100010101011,586
59,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,00000100000101011,582
60,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,00000000001010100,582
61,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,01000000010001011,578
