Narrow_Eyes,Straight_Hair,Pale_Skin,Mouth_Slightly_Open,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5341
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3972
0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,3600
0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3433
0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,3369
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2627
0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,2548
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2459
0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2374
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2155
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1882
0,0,0,1,4,0,1,0,0,1,0,0,1,1,1,1881
0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1616
0,0,0,1,4,0,0,0,0,1,1,0,1,1,1,1608
0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1601
0,0,0,0,4,0,1,0,0,1,0,0,1,1,1,1555
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1546
0,0,0,0,4,0,0,0,0,1,1,0,1,1,1,1507
0,0,0,0,4,0,0,0,0,1,0,0,1,1,1,1468
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1380
0,0,0,1,4,0,0,0,0,1,0,0,1,1,1,1268
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1221
0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1214
0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1213
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1206
0,0,0,1,4,0,1,0,0,1,1,0,1,1,1,1141
0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1075
0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1025
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1015
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,990
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,979
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,968
0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,926
0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,923
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,910
0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,885
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,883
0,0,0,0,4,0,1,0,0,1,1,0,1,1,1,867
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,851
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846
0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,842
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,836
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,809
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,772
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,766
0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,749
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,733
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,723
1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,715
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,711
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,705
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,696
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,691
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,682
0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,677
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,657
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,654
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,652
0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,643
0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,626
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,626
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,624
0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,608
0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,602
