hair_color,Young,Straight_Hair,Receding_Hairline,Chubby,Big_Lips,Heavy_Makeup,Wearing_Lipstick,Mouth_Slightly_Open,onehot,count
0,1,0,0,0,0,0,0,0,010000000,11549
0,1,0,0,0,0,1,1,1,010000111,11009
0,1,0,0,0,0,1,1,0,010000110,9321
0,1,0,0,0,0,0,0,1,010000001,9001
1,1,0,0,0,0,0,0,0,110000000,6101
0,0,0,0,0,0,0,0,0,000000000,5756
4,1,0,0,0,0,1,1,1,410000111,5113
4,1,0,0,0,0,0,0,0,410000000,4950
0,1,0,0,0,1,1,1,1,010001111,4936
4,1,0,0,0,0,1,1,0,410000110,4636
0,1,0,0,0,1,1,1,0,010001110,3913
1,1,0,0,0,0,0,0,1,110000001,3750
0,0,0,0,0,0,0,0,1,000000001,3724
1,1,1,0,0,0,0,0,0,111000000,3650
4,1,0,0,0,0,0,0,1,410000001,3428
1,1,0,0,0,0,1,1,1,110000111,3357
0,1,1,0,0,0,0,0,0,011000000,3198
1,1,0,0,0,0,1,1,0,110000110,3098
0,1,1,0,0,0,1,1,1,011000111,2433
1,1,1,0,0,0,0,0,1,111000001,2367
0,1,0,0,0,0,0,1,0,010000010,2244
0,1,1,0,0,0,0,0,1,011000001,2178
4,1,0,0,0,1,1,1,1,410001111,2168
0,1,0,0,0,1,0,0,0,010001000,2108
1,1,0,0,0,1,1,1,1,110001111,2091
0,1,1,0,0,0,1,1,0,011000110,2007
4,1,0,0,0,1,1,1,0,410001110,1964
0,0,0,0,0,0,1,1,1,000000111,1956
0,1,0,0,0,1,0,0,1,010001001,1929
1,1,0,0,0,1,1,1,0,110001110,1893
4,1,1,0,0,0,0,0,0,411000000,1832
0,1,0,0,0,0,0,1,1,010000011,1763
1,1,0,0,0,1,0,0,0,110001000,1457
4,1,1,0,0,0,0,0,1,411000001,1270
1,1,0,0,0,1,0,0,1,110001001,1265
1,0,0,0,0,0,0,0,0,100000000,1218
4,0,0,0,0,0,0,0,0,400000000,1200
0,1,1,0,0,1,1,1,1,011001111,1174
3,0,0,0,0,0,0,0,0,300000000,1160
0,0,0,0,1,0,0,0,0,000010000,1102
0,1,0,0,0,1,0,1,0,010001010,1092
0,0,0,1,0,0,0,0,0,000100000,1088
4,1,0,0,0,0,0,1,0,410000010,1087
0,1,0,0,0,1,0,1,1,010001011,1076
1,1,1,0,0,0,1,1,0,111000110,1040
0,0,1,0,0,0,0,0,0,001000000,1031
0,0,0,0,1,0,0,0,1,000010001,1030
1,1,1,0,0,0,1,1,1,111000111,971
4,1,1,0,0,0,1,1,1,411000111,952
0,0,0,0,0,0,1,1,0,000000110,945
0,1,1,0,0,1,1,1,0,011001110,910
4,1,1,0,0,0,1,1,0,411000110,867
3,0,0,0,0,0,0,0,1,300000001,841
0,0,0,0,0,1,1,1,1,000001111,837
3,0,0,1,0,0,0,0,0,300100000,834
4,1,0,0,0,1,0,0,0,410001000,806
0,0,1,0,0,0,0,0,1,001000001,803
3,0,0,1,0,0,0,0,1,300100001,781
1,1,0,0,0,0,0,1,0,110000010,779
0,0,0,1,0,0,0,0,1,000100001,774
4,1,0,0,0,0,0,1,1,410000011,753
4,0,0,0,0,0,0,0,1,400000001,751
4,0,0,0,0,0,1,1,1,400000111,709
0,0,0,0,0,0,0,1,1,000000011,709
1,0,0,0,0,0,0,0,1,100000001,683
0,1,1,0,0,0,0,1,0,011000010,677
0,1,0,1,0,0,0,0,1,010100001,647
0,1,1,0,0,0,0,1,1,011000011,645
0,1,0,1,0,0,0,0,0,010100000,615
1,1,1,0,0,1,0,0,0,111001000,615
1,0,1,0,0,0,0,0,0,101000000,587
1,1,1,0,0,1,1,1,1,111001111,585
4,1,0,0,0,1,0,0,1,410001001,566
4,1,0,0,0,1,0,1,0,410001010,557
3,0,0,1,1,0,0,0,1,300110001,547
1,1,1,0,0,1,1,1,0,111001110,542
0,0,0,0,0,1,0,0,0,000001000,538
0,0,0,0,0,1,0,0,1,000001001,531
0,0,0,0,0,0,0,1,0,000000010,529
1,1,0,0,0,1,0,1,0,110001010,525
1,0,1,0,0,0,0,0,1,101000001,514
1,1,0,0,0,0,0,1,1,110000011,507
0,1,1,0,0,1,0,0,0,011001000,498
3,0,0,1,1,0,0,0,0,300110000,493
1,1,1,0,0,1,0,0,1,111001001,460
3,0,0,0,1,0,0,0,0,300010000,429
1,1,0,1,0,1,0,0,1,110101001,429
4,1,0,0,0,1,0,1,1,410001011,408
4,1,1,0,0,1,1,1,1,411001111,405
0,1,0,1,0,0,1,1,1,010100111,401
0,1,1,0,0,1,0,1,0,011001010,382
0,0,0,1,1,0,0,0,1,000110001,381
0,0,0,1,1,0,0,0,0,000110000,378
1,1,0,0,0,1,0,1,1,110001011,377
0,1,0,0,0,0,1,0,0,010000100,374
3,0,0,0,1,0,0,0,1,300010001,372
0,0,0,0,1,1,0,0,1,000011001,368
1,1,0,1,0,1,1,1,1,110101111,361
0,1,1,0,0,1,0,0,1,011001001,361
3,0,1,0,0,0,0,0,1,301000001,356
0,1,1,0,0,1,0,1,1,011001011,355
0,0,0,0,0,1,0,1,1,000001011,347
0,1,0,1,0,0,1,1,0,010100110,347
4,0,1,0,0,0,0,0,0,401000000,337
4,0,0,0,0,1,1,1,1,400001111,325
4,1,1,0,0,1,1,1,0,411001110,324
3,0,1,0,0,0,0,0,0,301000000,318
0,0,0,0,0,1,1,1,0,000001110,317
0,1,0,0,1,1,0,0,1,010011001,306
