Narrow_Eyes,Straight_Hair,Pale_Skin,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,0,0,0,0,0,0,0,1,0,0,00000000000100,9313
0,0,0,0,0,0,0,0,1,1,0,1,1,1,00000000110111,7033
0,0,0,0,0,1,0,0,1,0,0,1,1,1,00000100100111,5743
0,0,0,0,0,0,0,0,1,0,0,1,1,1,00000000100111,5086
0,0,0,0,0,1,0,0,1,1,0,1,1,1,00000100110111,4164
0,0,0,0,0,0,0,1,0,0,0,1,0,0,00000001000100,4037
0,0,0,4,0,1,0,0,1,0,0,1,1,1,00040100100111,3436
0,0,0,4,0,0,0,0,1,1,0,1,1,1,00040000110111,3115
0,0,0,4,0,0,0,0,1,0,0,1,1,1,00040000100111,2736
0,0,0,4,0,0,0,0,0,0,0,1,0,0,00040000000100,2626
0,0,0,0,0,0,0,0,1,0,0,1,0,0,00000000100100,2456
0,0,0,1,0,1,0,0,1,0,0,1,1,1,00010100100111,2288
0,0,0,0,0,1,0,0,0,0,0,1,0,0,00000100000100,2211
0,0,0,1,0,0,0,0,0,0,0,1,0,0,00010000000100,2189
0,0,0,1,0,0,0,0,1,1,0,1,1,1,00010000110111,2140
0,1,0,0,0,0,0,0,0,0,0,1,0,0,01000000000100,2089
0,0,0,4,0,1,0,0,1,1,0,1,1,1,00040100110111,2008
0,0,0,0,1,0,0,1,0,0,0,1,0,0,00001001000100,1947
0,0,0,0,0,0,0,0,1,0,0,1,0,1,00000000100101,1711
0,0,0,0,0,0,0,0,0,1,0,1,1,1,00000000010111,1618
0,0,0,0,0,0,0,0,0,0,0,1,1,1,00000000000111,1547
0,0,0,0,0,0,0,0,0,0,0,1,0,1,00000000000101,1457
0,1,0,0,0,1,0,0,1,0,0,1,1,1,01000100100111,1444
0,1,0,1,0,0,0,0,0,0,0,1,0,0,01010000000100,1404
0,0,0,4,0,0,0,0,1,0,0,1,0,0,00040000100100,1395
1,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000000100,1347
0,0,0,1,0,1,0,0,1,1,0,1,1,1,00010100110111,1303
0,0,0,1,0,0,0,0,1,0,0,1,1,1,00010000100111,1303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000,1256
0,1,0,0,0,0,0,0,1,1,0,1,1,1,01000000110111,1251
0,0,0,0,0,0,1,1,0,0,0,0,0,0,00000011000000,1215
0,0,0,0,0,0,0,1,0,0,0,0,0,0,00000001000000,1191
0,0,0,0,1,0,0,0,0,0,0,1,0,0,00001000000100,1178
0,1,0,0,0,0,0,0,1,0,0,1,1,1,01000000100111,1136
1,0,0,0,0,0,0,0,1,1,0,1,1,1,10000000110111,1042
0,0,0,0,0,0,0,0,0,0,1,0,0,0,00000000001000,997
0,1,0,0,0,0,0,1,0,0,0,1,0,0,01000001000100,990
0,0,0,1,0,0,0,0,1,0,0,1,0,0,00010000100100,977
0,0,0,0,0,1,0,1,0,0,0,1,0,0,00000101000100,977
0,0,0,1,0,0,0,1,0,0,0,1,0,0,00010001000100,974
0,0,0,0,0,0,1,0,0,0,0,0,0,0,00000010000000,964
0,0,0,0,0,1,0,0,1,0,0,1,0,0,00000100100100,957
0,1,0,0,0,1,0,0,1,1,0,1,1,1,01000100110111,924
0,1,0,1,0,0,0,0,1,0,0,1,0,0,01010000100100,905
0,0,0,0,0,0,0,0,1,1,0,1,0,1,00000000110101,896
0,1,0,0,0,0,0,0,1,0,0,1,0,0,01000000100100,878
0,0,0,4,0,0,0,0,1,0,0,1,0,1,00040000100101,843
0,0,0,0,0,0,0,1,0,0,1,0,0,0,00000001001000,806
1,0,0,0,0,0,0,1,0,0,0,1,0,0,10000001000100,805
0,1,0,4,0,0,0,0,0,0,0,1,0,0,01040000000100,777
0,0,0,1,0,1,0,0,0,0,0,1,0,0,00010100000100,776
0,1,0,1,0,1,0,0,1,0,0,1,1,1,01010100100111,769
0,0,1,0,0,0,0,0,1,1,0,1,1,1,00100000110111,743
0,0,0,0,0,1,0,0,0,0,0,1,1,1,00000100000111,722
0,1,0,4,0,1,0,0,1,0,0,1,1,1,01040100100111,691
0,0,0,0,0,0,0,0,0,1,0,1,0,1,00000000010101,685
0,0,0,4,0,1,0,0,0,0,0,1,0,0,00040100000100,684
0,0,0,4,0,1,0,0,1,0,0,1,0,0,00040100100100,655
0,1,0,1,0,0,0,1,0,0,0,1,0,0,01010001000100,634
0,0,0,4,0,0,0,0,0,0,0,1,1,1,00040000000111,618
0,0,0,0,0,0,0,1,1,1,0,1,1,1,00000001110111,610
0,0,0,1,0,1,0,0,1,0,0,1,0,0,00010100100100,588
0,0,0,4,0,0,0,0,0,1,0,1,1,1,00040000010111,579
