Bald,Pointy_Nose,hair_color,Young,Straight_Hair,Attractive,Chubby,Oval_Face,Male,Narrow_Eyes,Rosy_Cheeks,High_Cheekbones,0
0,0,0,1,0,0,0,0,1,0,0,0,6114
0,0,0,1,0,1,0,0,0,0,0,0,5640
0,0,0,1,0,0,0,0,0,0,0,0,4342
0,1,0,1,0,1,0,0,0,0,0,0,4032
0,0,0,1,0,1,0,0,0,0,0,1,4018
0,0,0,0,0,0,0,0,1,0,0,0,3989
0,0,0,1,0,1,0,1,0,0,0,1,3664
0,0,1,1,0,0,0,0,1,0,0,0,3007
0,1,0,1,0,1,0,0,0,0,0,1,2875
0,0,4,1,0,1,0,0,0,0,0,0,2567
0,1,0,1,0,1,0,1,0,0,0,1,2368
0,0,4,1,0,1,0,1,0,0,0,1,2083
0,0,0,1,0,1,0,1,0,0,0,0,2070
0,0,0,1,0,1,0,0,1,0,0,0,2044
0,0,4,1,0,1,0,0,0,0,0,1,1951
0,0,0,1,0,0,0,0,0,0,0,1,1867
0,1,4,1,0,1,0,0,0,0,0,0,1815
0,0,1,1,0,1,0,1,0,0,0,1,1692
0,0,4,1,0,0,0,0,1,0,0,0,1690
0,0,1,1,0,1,0,0,0,0,0,0,1589
0,0,1,1,0,1,0,0,1,0,0,0,1554
0,1,0,1,0,1,0,1,0,0,1,1,1486
0,0,1,1,0,1,0,0,0,0,0,1,1464
0,1,4,1,0,1,0,0,0,0,0,1,1412
0,1,0,1,0,0,0,0,0,0,0,0,1402
0,0,1,1,1,0,0,0,1,0,0,0,1371
0,0,0,0,0,0,0,0,0,0,0,1,1360
0,0,0,1,1,1,0,0,0,0,0,0,1356
0,0,4,1,0,0,0,0,0,0,0,0,1323
0,0,1,1,1,1,0,0,1,0,0,0,1281
0,1,4,1,0,1,0,1,0,0,0,1,1262
0,0,0,1,0,0,0,0,1,0,0,1,1242
0,0,3,0,0,0,0,0,1,0,0,0,1238
0,0,1,1,0,0,0,0,0,0,0,0,1234
0,0,4,1,0,1,0,1,0,0,0,0,1222
0,1,0,1,0,1,0,1,0,0,0,0,1218
0,0,4,1,0,1,0,0,1,0,0,0,1178
0,0,0,1,0,0,0,1,1,0,0,0,1140
0,0,0,0,0,0,0,0,0,0,0,0,1080
0,1,1,1,0,1,0,0,0,0,0,0,1079
0,0,1,1,0,0,0,0,0,0,0,1,1074
0,0,0,0,0,0,0,0,1,0,0,1,1036
0,0,0,1,1,0,0,0,1,0,0,0,1022
0,1,0,1,0,1,0,0,0,0,1,1,1012
0,0,0,1,1,1,0,0,0,0,0,1,971
0,0,1,1,0,0,0,0,1,0,0,1,963
0,0,0,1,1,1,0,1,0,0,0,1,954
0,0,0,1,0,1,0,1,0,0,1,1,937
0,0,0,1,0,0,0,1,0,0,0,1,935
0,0,0,1,1,0,0,0,0,0,0,0,935
0,1,1,1,0,1,0,1,0,0,0,1,934
0,0,0,0,0,0,1,0,1,0,0,0,926
0,1,1,1,0,1,0,0,0,0,0,1,924
0,1,0,1,0,0,0,0,1,0,0,0,907
0,0,1,0,0,0,0,0,1,0,0,0,889
0,1,0,0,0,0,0,0,1,0,0,0,862
0,1,0,1,1,1,0,0,0,0,0,0,858
0,0,0,1,0,0,0,0,0,1,0,0,844
0,0,1,1,0,0,0,1,1,0,0,0,832
0,0,0,1,0,0,0,0,1,1,0,0,818
0,0,0,1,1,1,0,0,1,0,0,0,793
0,1,0,1,0,1,0,0,1,0,0,0,780
0,0,1,1,0,1,0,1,0,0,0,0,775
0,0,0,0,1,0,0,0,1,0,0,0,761
0,0,0,1,0,0,0,1,1,0,0,1,738
0,0,4,1,0,0,0,0,0,0,0,1,722
0,1,1,1,0,1,0,0,1,0,0,0,713
0,0,0,1,0,0,0,1,0,0,0,0,704
0,0,0,1,0,1,0,0,0,1,0,1,694
0,1,4,1,0,1,0,1,0,0,0,0,690
0,0,0,1,0,1,0,0,0,1,0,0,670
0,0,0,1,0,1,0,1,1,0,0,0,669
0,0,4,0,0,0,0,0,1,0,0,0,669
0,1,0,1,1,1,0,0,0,0,0,1,664
0,0,1,1,1,1,0,1,0,0,0,1,660
