Bald,Pointy_Nose,Young,Straight_Hair,Attractive,Chubby,Oval_Face,Male,Narrow_Eyes,Rosy_Cheeks,High_Cheekbones,onehot,count
0,0,1,0,0,0,0,1,0,0,0,00100001000,10844
0,0,1,0,1,0,0,0,0,0,0,00101000000,9797
0,0,1,0,1,0,1,0,0,0,1,00101010001,7440
0,0,1,0,1,0,0,0,0,0,1,00101000001,7435
0,1,1,0,1,0,0,0,0,0,0,01101000000,6926
0,0,1,0,0,0,0,0,0,0,0,00100000000,6909
0,0,0,0,0,0,0,1,0,0,0,00000001000,6785
0,1,1,0,1,0,0,0,0,0,1,01101000001,5213
0,0,1,0,1,0,0,1,0,0,0,00101001000,4781
0,1,1,0,1,0,1,0,0,0,1,01101010001,4566
0,0,1,0,1,0,1,0,0,0,0,00101010000,4072
0,0,1,0,0,0,0,0,0,0,1,00100000001,3668
0,0,1,1,0,0,0,1,0,0,0,00110001000,3001
0,0,1,1,1,0,0,1,0,0,0,00111001000,2588
0,0,1,0,0,0,0,1,0,0,1,00100001001,2587
0,1,1,0,1,0,1,0,0,1,1,01101010011,2515
0,0,1,1,1,0,0,0,0,0,0,00111000000,2476
0,1,1,0,0,0,0,0,0,0,0,01100000000,2380
0,1,1,0,1,0,1,0,0,0,0,01101010000,2325
0,0,1,0,0,0,1,1,0,0,0,00100011000,2318
0,0,0,0,0,0,0,0,0,0,1,00000000001,2234
0,0,0,0,0,0,0,1,0,0,1,00000001001,2172
0,0,1,1,1,0,1,0,0,0,1,00111010001,2096
0,1,1,0,1,0,0,1,0,0,0,01101001000,1988
0,1,1,0,0,0,0,1,0,0,0,01100001000,1934
0,0,1,0,0,0,1,0,0,0,1,00100010001,1886
0,0,1,1,1,0,0,0,0,0,1,00111000001,1859
0,0,0,0,0,1,0,1,0,0,0,00000101000,1819
0,1,1,0,1,0,0,0,0,1,1,01101000011,1722
0,0,1,0,1,0,1,1,0,0,0,00101011000,1722
0,0,0,1,0,0,0,1,0,0,0,00010001000,1716
0,0,1,1,0,0,0,0,0,0,0,00110000000,1627
0,0,1,0,1,0,1,0,0,1,1,00101010011,1619
0,0,0,0,0,0,0,0,0,0,0,00000000000,1582
0,0,1,0,1,0,0,1,0,0,1,00101001001,1578
0,0,1,0,0,0,1,1,0,0,1,00100011001,1564
0,1,0,0,0,0,0,1,0,0,0,01000001000,1464
0,1,1,1,1,0,0,0,0,0,0,01111000000,1404
0,0,1,0,0,0,0,1,1,0,0,00100001100,1380
0,0,1,0,0,0,0,0,1,0,0,00100000100,1280
0,0,1,0,1,0,0,0,1,0,1,00101000101,1278
0,0,1,0,0,0,1,0,0,0,0,00100010000,1217
0,0,1,1,1,0,1,0,0,0,0,00111010000,1196
0,0,1,0,1,0,1,1,0,0,1,00101011001,1184
0,0,0,0,0,1,0,1,0,0,1,00000101001,1153
0,1,1,0,0,0,0,0,0,0,1,01100000001,1129
