hair_color,Straight_Hair,Big_Lips,Young,Bags_Under_Eyes,No_Beard,Male,Attractive,Oval_Face,Rosy_Cheeks,Mouth_Slightly_Open,High_Cheekbones,0
0,0,0,1,0,1,0,1,0,0,0,0,4846
0,0,0,1,0,1,0,1,1,0,1,1,3541
0,0,0,1,0,1,0,0,0,0,0,0,3068
0,0,0,1,0,1,0,1,0,0,1,1,2783
0,0,1,1,0,1,0,1,0,0,0,0,2669
4,0,0,1,0,1,0,1,0,0,0,0,2199
0,0,0,1,0,1,1,0,0,0,0,0,2167
0,0,0,1,0,1,0,1,1,0,0,0,1942
4,0,0,1,0,1,0,1,1,0,1,1,1848
0,0,0,1,0,1,0,1,1,0,0,1,1749
0,0,0,1,0,1,0,1,0,0,1,0,1701
0,0,0,1,0,0,1,0,0,0,0,0,1665
0,0,0,1,0,1,0,0,0,0,1,0,1664
0,0,1,1,0,1,0,1,0,0,1,1,1626
0,0,0,0,0,1,1,0,0,0,0,0,1586
0,0,0,0,0,0,1,0,0,0,0,0,1503
0,0,0,1,0,1,0,1,1,1,1,1,1446
0,0,0,1,0,1,0,1,0,0,0,1,1422
1,0,0,1,0,1,0,1,1,0,1,1,1376
4,0,0,1,0,1,0,1,0,0,1,1,1264
0,0,0,1,0,1,1,0,0,0,1,0,1241
1,0,0,1,0,1,0,1,0,0,0,0,1238
0,0,0,1,0,1,0,0,0,0,1,1,1226
4,0,1,1,0,1,0,1,0,0,0,0,1151
0,1,0,1,0,1,0,1,0,0,0,0,1135
4,0,0,1,0,1,0,1,1,0,0,0,1128
0,0,1,1,0,1,0,1,0,0,1,0,1112
0,0,1,1,0,1,0,0,0,0,0,0,1092
0,0,0,0,1,1,1,0,0,0,0,0,1075
4,0,0,1,0,1,0,1,1,0,0,1,1021
1,0,1,1,0,1,0,1,0,0,0,0,1019
4,0,0,1,0,1,0,0,0,0,0,0,1007
0,1,0,1,0,1,0,1,1,0,1,1,938
1,0,0,1,0,1,1,0,0,0,0,0,929
1,0,0,1,0,0,1,0,0,0,0,0,911
0,0,0,0,1,0,1,0,0,0,0,0,864
0,0,0,0,0,1,0,0,0,0,1,1,849
3,0,0,0,1,1,1,0,0,0,0,0,810
1,0,0,1,0,1,0,1,0,0,1,1,806
1,0,0,1,0,1,0,0,0,0,0,0,784
0,0,0,1,0,1,1,1,0,0,0,0,766
0,0,0,1,0,1,0,1,0,1,1,1,762
0,0,0,1,0,1,0,0,1,0,1,1,755
0,0,0,1,0,1,0,1,1,0,1,0,755
4,0,1,1,0,1,0,1,0,0,1,1,750
1,0,0,1,0,1,0,1,1,0,0,1,750
0,0,0,0,1,1,1,0,0,0,1,1,741
0,0,0,1,1,1,0,1,0,0,1,1,740
4,0,0,1,0,1,0,1,0,0,1,0,739
0,0,0,1,0,0,1,0,0,0,1,0,722
1,0,1,1,0,1,0,1,0,0,1,1,709
4,0,0,1,0,1,0,1,0,0,0,1,706
1,0,0,1,0,1,0,1,1,0,0,0,699
4,0,0,1,0,1,1,0,0,0,0,0,699
0,1,0,1,0,1,0,1,0,0,1,1,694
0,1,0,1,0,1,0,0,0,0,0,0,685
0,1,1,1,0,1,0,1,0,0,0,0,676
0,0,0,0,0,1,1,0,0,0,1,0,660
0,0,1,1,0,1,0,1,0,0,0,1,660
0,0,0,0,0,1,0,0,0,0,0,0,659
0,0,0,1,0,0,1,1,0,0,0,0,645
0,0,1,1,0,1,0,0,0,0,1,0,619
1,1,0,1,0,1,1,0,0,0,0,0,603
1,0,0,1,0,0,1,1,0,0,0,0,602
0,0,1,1,0,1,0,1,0,1,1,1,570
0,0,1,1,0,1,0,1,1,1,1,1,562
4,0,0,1,0,1,0,1,1,1,1,1,561
0,0,1,1,0,1,0,0,0,0,1,1,553
0,1,0,1,0,1,0,1,1,0,0,0,539
1,0,0,1,0,1,1,1,0,0,0,0,535
1,1,0,1,0,1,1,1,0,0,0,0,525
1,0,1,1,0,1,0,0,0,0,0,0,521
3,0,0,0,0,1,1,0,0,0,0,0,517
3,0,0,0,1,1,1,0,0,0,1,1,513
1,0,0,1,0,1,0,1,0,0,0,1,511
1,0,1,1,0,1,0,0,0,0,1,1,502
1,1,0,1,0,1,0,1,1,0,1,1,494
0,0,0,0,0,0,1,0,0,0,1,0,492
0,0,0,1,0,1,0,0,0,0,0,1,489
0,1,0,1,0,1,1,0,0,0,0,0,485
0,0,1,1,0,1,0,1,1,0,1,1,482
