Straight_Hair,Big_Lips,Young,Bags_Under_Eyes,No_Beard,Male,Attractive,Oval_Face,Rosy_Cheeks,Mouth_Slightly_Open,High_Cheekbones,onehot,count
0,0,1,0,1,0,1,0,0,0,0,00101010000,8284
0,0,1,0,1,0,1,1,0,1,1,00101011011,6769
0,0,1,0,1,0,0,0,0,0,0,00101000000,4866
0,0,1,0,1,0,1,0,0,1,1,00101010011,4854
0,1,1,0,1,0,1,0,0,0,0,01101010000,4839
0,0,1,0,1,1,0,0,0,0,0,00101100000,3811
0,0,1,0,1,0,1,1,0,0,0,00101011000,3772
0,0,1,0,1,0,1,1,0,0,1,00101011001,3520
0,1,1,0,1,0,1,0,0,1,1,01101010011,3085
0,0,1,0,0,1,0,0,0,0,0,00100100000,2967
0,0,1,0,1,0,1,0,0,1,0,00101010010,2740
0,0,1,0,1,0,1,0,0,0,1,00101010001,2642
0,0,0,0,1,1,0,0,0,0,0,00001100000,2584
0,0,1,0,1,0,0,0,0,1,0,00101000010,2391
0,0,1,0,1,0,1,1,1,1,1,00101011111,2347
0,0,0,1,1,1,0,0,0,0,0,00011100000,2213
0,0,0,0,0,1,0,0,0,0,0,00000100000,2206
0,1,1,0,1,0,0,0,0,0,0,01101000000,2089
0,0,1,0,1,0,0,0,0,1,1,00101000011,2069
1,0,1,0,1,0,1,0,0,0,0,10101010000,1982
0,0,1,0,1,1,0,0,0,1,0,00101100010,1976
0,1,1,0,1,0,1,0,0,1,0,01101010010,1882
1,0,1,0,1,0,1,1,0,1,1,10101011011,1822
0,0,1,0,1,1,1,0,0,0,0,00101110000,1773
0,0,1,0,0,1,1,0,0,0,0,00100110000,1595
0,0,0,1,1,1,0,0,0,1,1,00011100011,1490
0,0,0,1,0,1,0,0,0,0,0,00010100000,1439
0,0,1,0,1,0,1,1,0,1,0,00101011010,1429
0,1,1,0,1,0,1,0,0,0,1,01101010001,1412
0,0,1,0,1,0,0,1,0,1,1,00101001011,1385
1,0,1,0,1,1,0,0,0,0,0,10101100000,1344
0,0,0,0,1,0,0,0,0,1,1,00001000011,1327
0,1,1,0,1,0,0,0,0,1,1,01101000011,1264
0,0,1,1,1,0,1,0,0,1,1,00111010011,1234
1,1,1,0,1,0,1,0,0,0,0,11101010000,1192
1,0,1,0,1,0,1,0,0,1,1,10101010011,1188
0,0,0,0,1,1,0,0,0,1,0,00001100010,1178
0,0,1,0,0,1,0,0,0,1,0,00100100010,1174
0,0,1,0,1,0,1,0,1,1,1,00101010111,1155
1,0,1,0,1,0,0,0,0,0,0,10101000000,1151
1,0,1,0,1,1,1,0,0,0,0,10101110000,1115
1,0,1,0,1,0,1,1,0,0,0,10101011000,1074
0,1,1,0,1,0,1,0,1,1,1,01101010111,1044
0,1,1,0,1,0,1,1,0,1,1,01101011011,1029
0,1,1,0,1,0,0,0,0,1,0,01101000010,993
0,1,1,0,1,0,1,1,0,0,0,01101011000,958
0,1,1,0,1,0,1,1,1,1,1,01101011111,953
0,0,0,0,1,1,0,0,0,1,1,00001100011,949
0,0,1,0,1,0,0,0,0,0,1,00101000001,939
0,0,1,1,0,1,0,0,0,0,0,00110100000,917
0,0,0,0,1,0,0,0,0,0,0,00001000000,917
0,0,0,1,1,1,0,0,0,1,0,00011100010,909
0,0,1,1,1,1,0,0,0,0,0,00111100000,886
1,0,1,0,1,0,1,1,0,0,1,10101011001,866
0,1,1,1,1,0,1,0,0,1,1,01111010011,855
0,0,1,0,1,1,1,1,0,0,0,00101111000,848
0,0,1,0,1,1,0,0,0,1,1,00101100011,842
0,0,1,0,1,1,0,1,0,0,0,00101101000,780
0,0,1,0,1,0,0,1,0,0,0,00101001000,760
0,0,1,0,1,0,1,1,1,0,1,00101011101,748
0,1,1,0,0,1,0,0,0,0,0,01100100000,745
0,0,0,0,0,1,0,0,0,1,0,00000100010,737
1,1,1,0,1,0,1,0,0,1,1,11101010011,714
0,0,0,1,1,0,0,0,0,1,1,00011000011,713
1,0,1,0,0,1,1,0,0,0,0,10100110000,708
0,0,0,1,1,1,0,0,0,0,1,00011100001,708
1,0,0,0,1,1,0,0,0,0,0,10001100000,695
0,0,0,0,1,0,1,0,0,1,1,00001010011,694
0,0,1,1,1,1,0,0,0,1,1,00111100011,681
1,0,1,0,0,1,0,0,0,0,0,10100100000,653
0,0,0,0,1,0,1,1,0,1,1,00001011011,651
0,0,1,1,0,1,1,0,0,0,0,00110110000,634
0,0,1,1,1,1,1,0,0,0,0,00111110000,632
0,0,1,0,1,1,1,0,0,1,1,00101110011,631
0,1,0,0,1,0,0,0,0,1,1,01001000011,631
0,0,1,1,1,0,0,0,0,1,1,00111000011,628
0,1,1,0,1,1,0,0,0,0,0,01101100000,617
0,0,0,0,1,0,0,0,0,1,0,00001000010,599
0,0,0,0,1,0,0,1,0,1,1,00001001011,597
1,0,0,1,1,1,0,0,0,0,0,10011100000,596
1,0,1,0,1,0,1,0,0,0,1,10101010001,594
0,0,0,0,1,1,0,0,0,0,1,00001100001,592
0,0,1,0,0,1,1,1,0,0,0,00100111000,579
0,1,1,1,1,0,0,0,0,1,1,01111000011,578
0,0,1,0,0,1,0,1,0,0,0,00100101000,574
0,0,1,0,1,1,1,1,0,1,1,00101111011,568
1,0,0,1,1,1,0,0,0,1,1,10011100011,558
0,0,0,0,1,0,0,0,0,0,1,00001000001,548
1,0,1,0,1,0,1,1,1,1,1,10101011111,541
0,0,1,0,1,0,0,1,0,1,0,00101001010,537
0,0,1,0,1,1,0,1,0,1,1,00101101011,529
0,1,1,0,1,0,1,1,0,0,1,01101011001,529
0,0,1,0,1,1,1,0,0,1,0,00101110010,526
1,0,1,0,1,0,0,0,0,1,1,10101000011,516
1,1,1,0,1,0,0,0,0,0,0,11101000000,516
0,0,0,0,1,1,0,1,0,0,0,00001101000,512
1,0,1,0,1,0,1,0,0,1,0,10101010010,500
0,0,1,0,1,0,0,1,0,0,1,00101001001,500
1,0,1,0,1,1,0,0,0,1,0,10101100010,489
1,0,1,0,1,1,1,1,0,0,0,10101111000,485
0,0,0,1,0,1,0,0,0,1,0,00010100010,484
1,0,1,0,1,0,0,0,0,1,0,10101000010,475
0,0,1,0,0,1,1,0,0,1,0,00100110010,473
