Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3885
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2607
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2369
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2282
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2196
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2184
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2071
1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1888
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1886
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1844
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1748
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1716
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1682
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1664
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1659
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1505
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1498
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1391
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1294
1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1256
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1185
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1179
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1177
1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1142
