Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00000000000001100,3885
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10000000000001100,2893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,00000000000000100,2607
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,10000000100001011,2369
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10000000000001000,2282
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,00000000100001011,2196
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00000000000001000,2184
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,10000000110001011,2071
1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,10000000110101011,1888
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,10000000100101011,1886
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,00000000000010100,1844
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,00000000100101011,1748
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10000000000001011,1716
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,00000000000001011,1682
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01000000000001100,1664
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,00000000110001011,1659
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,00001000000001100,1505
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,00000000110101011,1498
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000000000100,1391
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,00000000000101011,1294
1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,10000100110101011,1256
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,10000000000101011,1185
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,10000000010001011,1179
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,00000100100101011,1177
1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,10000100100101011,1142
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,00000000010001011,1138
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,00000000010101011,1128
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11000000000001100,1081
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10000000000010100,1080
0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,00000100110101011,1054
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,10000000010101011,1018
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11000000000001011,931
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,00000000100001100,912
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,00000000000011100,876
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,01000000000001011,846
1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10000001001010100,835
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00100000000001100,819
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,10001000000001100,805
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10000000000011100,763
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,01000000000000100,735
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01100000000001100,731
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,10010000000001011,726
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,00000000010001100,722
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,11000000010001011,693
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,01001000000001100,680
