Young,Straight_Hair,Receding_Hairline,Chubby,Big_Lips,Heavy_Makeup,Wearing_Lipstick,Mouth_Slightly_Open,onehot,count
1,0,0,0,0,0,0,0,10000000,22657
1,0,0,0,0,1,1,1,10000111,19493
1,0,0,0,0,1,1,0,10000110,17063
1,0,0,0,0,0,0,1,10000001,16228
0,0,0,0,0,0,0,0,00000000,9334
1,0,0,0,1,1,1,1,10001111,9198
1,1,0,0,0,0,0,0,11000000,8702
1,0,0,0,1,1,1,0,10001110,7770
0,0,0,0,0,0,0,1,00000001,5999
1,1,0,0,0,0,0,1,11000001,5837
1,0,0,0,1,0,0,0,10001000,4372
1,1,0,0,0,1,1,1,11000111,4361
1,0,0,0,0,0,1,0,10000010,4111
1,1,0,0,0,1,1,0,11000110,3917
1,0,0,0,1,0,0,1,10001001,3760
0,0,0,0,0,1,1,1,00000111,3059
1,0,0,0,0,0,1,1,10000011,3024
0,1,0,0,0,0,0,0,01000000,2273
1,0,0,0,1,0,1,0,10001010,2175
1,1,0,0,1,1,1,1,11001111,2165
0,0,1,0,0,0,0,0,00100000,2128
0,1,0,0,0,0,0,1,01000001,1916
0,0,0,1,0,0,0,0,00010000,1880
1,0,0,0,1,0,1,1,10001011,1862
1,1,0,0,1,1,1,0,11001110,1778
0,0,0,1,0,0,0,1,00010001,1742
0,0,1,0,0,0,0,1,00100001,1725
0,0,0,0,0,1,1,0,00000110,1394
1,1,0,0,1,0,0,0,11001000,1387
0,0,0,0,1,1,1,1,00001111,1343
1,1,0,0,0,0,1,0,11000010,1235
1,1,0,0,0,0,1,1,11000011,1137
0,0,0,0,0,0,1,1,00000011,1121
1,0,1,0,0,0,0,1,10100001,1063
0,0,1,1,0,0,0,1,00110001,1006
1,1,0,0,1,0,0,1,11001001,1002
0,0,1,1,0,0,0,0,00110000,944
1,0,1,0,0,0,0,0,10100000,943
0,0,0,0,1,0,0,0,00001000,911
0,0,0,0,1,0,0,1,00001001,876
0,0,0,0,0,0,1,0,00000010,824
1,0,1,0,0,1,1,1,10100111,744
1,0,1,0,1,0,0,1,10101001,717
1,0,1,0,1,1,1,1,10101111,683
1,1,0,0,1,0,1,0,11001010,681
1,0,0,0,0,1,0,0,10000100,675
1,1,0,0,1,0,1,1,11001011,633
1,0,1,0,0,1,1,0,10100110,587
0,0,0,0,1,1,1,0,00001110,552
0,0,0,0,1,0,1,1,00001011,537
1,0,0,1,1,0,0,1,10011001,516
0,0,0,1,1,0,0,1,00011001,510
0,1,0,1,0,0,0,1,01010001,506
1,0,1,0,1,0,0,0,10101000,503
0,1,0,1,0,0,0,0,01010000,485
1,0,0,1,0,0,0,0,10010000,480
1,0,1,0,1,1,1,0,10101110,435
1,0,0,1,0,0,0,1,10010001,432
1,0,0,0,0,1,0,1,10000101,379
0,1,1,0,0,0,0,1,01100001,361
1,0,0,1,1,0,0,0,10011000,357
0,1,1,0,0,0,0,0,01100000,352
0,0,0,0,1,0,1,0,00001010,344
0,1,0,0,0,1,1,1,01000111,316
