Narrow_Eyes,Straight_Hair,Pale_Skin,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,0,0,0,0,0,0,1,0,0,0000000000100,14128
0,0,0,0,0,0,0,1,1,0,1,1,1,0000000110111,12288
0,0,0,0,1,0,0,1,0,0,1,1,1,0000100100111,11467
0,0,0,0,0,0,0,1,0,0,1,1,1,0000000100111,9125
0,0,0,0,1,0,0,1,1,0,1,1,1,0000100110111,7475
0,0,0,0,0,0,1,0,0,0,1,0,0,0000001000100,5561
0,0,0,0,0,0,0,1,0,0,1,0,0,0000000100100,4828
0,1,0,0,0,0,0,0,0,0,1,0,0,0100000000100,4270
0,0,0,0,1,0,0,0,0,0,1,0,0,0000100000100,3671
0,0,0,0,0,0,0,1,0,0,1,0,1,0000000100101,2956
0,1,0,0,1,0,0,1,0,0,1,1,1,0100100100111,2904
0,0,0,0,0,0,0,0,1,0,1,1,1,0000000010111,2701
0,0,0,0,0,0,0,0,0,0,1,1,1,0000000000111,2592
0,0,0,0,0,0,0,0,0,0,1,0,1,0000000000101,2320
0,1,0,0,0,0,0,1,0,0,1,0,0,0100000100100,2278
0,1,0,0,0,0,0,1,1,0,1,1,1,0100000110111,2233
0,0,0,0,1,0,0,1,0,0,1,0,0,0000100100100,2200
0,0,0,1,0,0,1,0,0,0,1,0,0,0001001000100,2156
0,1,0,0,0,0,0,1,0,0,1,1,1,0100000100111,2041
1,0,0,0,0,0,0,0,0,0,1,0,0,1000000000100,1929
0,0,0,0,0,0,0,0,0,1,0,0,0,0000000001000,1894
0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000,1847
0,1,0,0,0,0,1,0,0,0,1,0,0,0100001000100,1800
0,0,0,0,0,1,1,0,0,0,0,0,0,0000011000000,1796
1,0,0,0,0,0,0,1,1,0,1,1,1,1000000110111,1762
0,1,0,0,1,0,0,1,1,0,1,1,1,0100100110111,1681
0,0,0,0,0,0,0,1,1,0,1,0,1,0000000110101,1620
0,0,0,0,0,0,1,0,0,0,0,0,0,0000001000000,1616
0,0,0,1,0,0,0,0,0,0,1,0,0,0001000000100,1483
0,0,0,0,0,1,0,0,0,0,0,0,0,0000010000000,1472
0,0,0,0,0,0,1,0,0,1,0,0,0,0000001001000,1437
0,0,0,0,0,0,0,1,0,1,0,0,0,0000000101000,1418
0,0,0,0,1,0,1,0,0,0,1,0,0,0000101000100,1372
